,gu,dong,ee
251,중구,신당6동,0
252,중구,신당1동,0
253,중구,신당2동,0
254,중구,신당3동,0
255,중구,신당4동,0
256,동작구,신대방1동,0
257,동작구,신대방2동,0
258,구로구,신도림동,0
259,관악구,신림동,0
260,은평구,신사1동,0
261,은평구,신사2동,0
262,마포구,신수동,0
263,관악구,신원동,0
264,양천구,신월1동,0
265,양천구,신월2동,0
266,양천구,신월3동,0
267,양천구,신월4동,0
268,양천구,신월5동,0
269,양천구,신월6동,0
270,양천구,신월7동,0
271,양천구,신정1동,0
272,양천구,신정2동,0
273,양천구,신정3동,0
274,양천구,신정4동,0
275,양천구,신정6동,0
276,양천구,신정7동,0
277,서대문구,신촌동,0
278,도봉구,쌍문1동,0
279,도봉구,쌍문2동,0
280,도봉구,쌍문3동,0
281,도봉구,쌍문4동,0
282,마포구,아현동,0
283,성북구,안암동,0
284,강동구,암사1동,0
285,강동구,암사2동,0
286,강동구,암사3동,0
287,강남구,압구정동,0
288,중구,약수동,0
289,서초구,양재1동,0
290,서초구,양재2동,0
291,영등포구,양평1동,0
292,영등포구,양평2동,0
293,영등포구,여의동,0
294,강남구,역삼1동,0
295,강남구,역삼2동,0
296,은평구,역촌동,0
297,마포구,연남동,0
298,서대문구,연희동,0
299,마포구,염리동,0
300,강서구,염창동,0
301,영등포구,영등포동,0
302,영등포구,영등포본동,0
303,송파구,오금동,0
304,구로구,오류1동,0
305,구로구,오류2동,0
306,송파구,오륜동,0
307,성동구,옥수동,0
308,성동구,왕십리2동,0
309,성동구,왕십리도선동,0
310,마포구,용강동,0
311,성동구,용답동,0
312,용산구,용문동,0
313,용산구,용산2가동,0
314,동대문구,용신동,0
315,강북구,우이동,0
316,강서구,우장산동,0
317,용산구,원효로1동,0
318,용산구,원효로2동,0
319,노원구,월계1동,0
320,노원구,월계2동,0
321,노원구,월계3동,0
322,성북구,월곡1동,0
323,성북구,월곡2동,0
324,송파구,위례동,0
325,관악구,은천동,0
326,중구,을지로동,0
327,성동구,응봉동,0
328,은평구,응암1동,0
329,은평구,응암2동,0
330,은평구,응암3동,0
331,동대문구,이문1동,0
332,동대문구,이문2동,0
333,용산구,이촌1동,0
334,용산구,이촌2동,0
335,용산구,이태원1동,0
336,용산구,이태원2동,0
337,종로구,이화동,0
338,관악구,인헌동,0
339,강남구,일원1동,0
340,강남구,일원2동,0
341,강남구,일원본동,0
342,광진구,자양1동,0
343,광진구,자양2동,0
344,광진구,자양3동,0
345,광진구,자양4동,0
346,송파구,잠실2동,0
347,송파구,잠실3동,0
348,송파구,잠실4동,0
349,송파구,잠실6동,0
350,송파구,잠실7동,0
351,송파구,잠실본동,0
352,서초구,잠원동,0
353,동대문구,장안1동,0
354,동대문구,장안2동,0
355,성북구,장위1동,0
356,성북구,장위3동,0
357,송파구,장지동,0
358,중구,장충동,0
359,동대문구,전농1동,0
360,동대문구,전농2동,0
361,성북구,정릉1동,0
362,성북구,정릉2동,0
363,성북구,정릉3동,0
364,성북구,정릉4동,0
365,동대문구,제기동,0
366,종로구,종로1.2.3.4가동,0
367,종로구,종로5·6가동,0
368,성북구,종암동,0
369,노원구,중계1동,0
370,노원구,중계2.3동,0
371,노원구,중계4동,0
372,노원구,중계본동,0
373,광진구,중곡1동,0
374,광진구,중곡2동,0
375,광진구,중곡3동,0
376,광진구,중곡4동,0
377,중구,중림동,0
378,관악구,중앙동,0
379,중랑구,중화1동,0
380,중랑구,중화2동,0
381,은평구,증산동,0
382,은평구,진관동,0
383,도봉구,창1동,0
384,도봉구,창2동,0
385,도봉구,창3동,0
386,도봉구,창4동,0
387,도봉구,창5동,0
388,종로구,창신3동,0
389,서대문구,천연동,0
390,강동구,천호2동,0
391,강동구,천호3동,0
392,중구,청구동,0
393,강남구,청담동,0
394,동대문구,청량리동,0
395,관악구,청룡동,0
396,관악구,청림동,0
397,종로구,청운효자동,0
398,용산구,청파동,0
399,종로구,평창동,0
400,송파구,풍납1동,0
401,송파구,풍납2동,0
402,중구,필동,0
403,노원구,하계1동,0
404,노원구,하계2동,0
405,용산구,한남동,0
406,마포구,합정동,0
407,성동구,행당1동,0
408,성동구,행당2동,0
409,관악구,행운동,0
410,종로구,혜화동,0
411,서대문구,홍은1동,0
412,서대문구,홍은2동,0
413,서대문구,홍제1동,0
414,서대문구,홍제2동,0
415,서대문구,홍제3동,0
416,강서구,화곡1동,0
417,강서구,화곡2동,0
418,강서구,화곡3동,0
419,강서구,화곡4동,0
420,강서구,화곡6동,0
421,강서구,화곡8동,0
422,강서구,화곡본동,0
423,광진구,화양동,0
424,중구,황학동,0
425,동대문구,회기동,0
426,중구,회현동,0
427,용산구,후암동,0
428,동대문구,휘경1동,0
429,동대문구,휘경2동,0
430,동작구,흑석동,0
