"","gu","dong","total","perc_inv","result"
"361","종로구","청운효자동",552,11.1788617886179,6170.73170731707
"362","영등포구","대림2동",421,14.438566552901,6078.63651877133
"363","성동구","송정동",430,13.939736346516,5994.08662900188
"364","금천구","시흥3동",443,13.4630681818182,5964.13920454545
"365","성북구","장위1동",641,9.26223453370268,5937.09233610342
"366","관악구","대학동",510,11.622864651774,5927.66097240473
"367","용산구","이태원2동",307,19.2926829268293,5922.85365853659
"368","관악구","신원동",507,11.622864651774,5892.79237844941
"369","영등포구","대림1동",408,14.438566552901,5890.93515358362
"370","마포구","염리동",368,15.875,5842
"371","성북구","돈암1동",615,9.26223453370268,5696.27423822715
"372","성동구","용답동",389,13.939736346516,5422.55743879473
"373","강남구","개포1동",345,15.484237074401,5342.06179066835
"374","은평구","수색동",400,13.2664188351921,5306.56753407683
"375","성북구","성북동",562,9.26223453370268,5205.37580794091
"376","중구","황학동",569,8.90070921985816,5064.50354609929
"377","동작구","노량진2동",256,19.6155555555556,5021.58222222222
"378","중구","청구동",550,8.90070921985816,4895.39007092199
"379","종로구","혜화동",433,11.1788617886179,4840.44715447155
"380","성북구","정릉3동",522,9.26223453370268,4834.8864265928
"381","동대문구","휘경1동",388,12.3951473136915,4809.3171577123
"382","성동구","사근동",332,13.939736346516,4627.99246704331
"383","성북구","길음2동",482,9.26223453370268,4464.39704524469
"384","성북구","장위3동",474,9.26223453370268,4390.29916897507
"385","영등포구","신길5동",304,14.438566552901,4389.32423208191
"386","종로구","사직동",388,11.1788617886179,4337.39837398374
"387","중구","동화동",480,8.90070921985816,4272.34042553191
"388","마포구","대흥동",258,15.875,4095.75
"389","종로구","무악동",362,11.1788617886179,4046.74796747968
"390","관악구","신림동",346,11.622864651774,4021.5111695138
"391","성북구","동선동",431,9.26223453370268,3992.02308402585
"392","동대문구","회기동",316,12.3951473136915,3916.86655112652
"393","성북구","장위2동",422,9.26223453370268,3908.66297322253
"394","용산구","이태원1동",200,19.2926829268293,3858.53658536585
"395","관악구","중앙동",330,11.622864651774,3835.54533508541
"396","중구","다산동",421,8.90070921985816,3747.19858156028
"397","종로구","부암동",299,11.1788617886179,3342.47967479675
"398","중구","신당5동",373,8.90070921985816,3319.96453900709
"399","성북구","안암동",356,9.26223453370268,3297.35549399815
"400","영등포구","신길4동",228,14.438566552901,3291.99317406143
"401","종로구","창신3동",287,11.1788617886179,3208.33333333333
"402","용산구","남영동",152,19.2926829268293,2932.48780487805
"403","양천구","신월6동",255,11.4903433476395,2930.03755364807
"404","강동구","고덕2동",181,15.7795031055901,2856.0900621118
"405","종로구","숭인1동",224,11.1788617886179,2504.06504065041
"406","구로구","가리봉동",201,12.2261904761905,2457.46428571429
"407","종로구","숭인2동",204,11.1788617886179,2280.48780487805
"408","종로구","이화동",200,11.1788617886179,2235.77235772358
"409","종로구","창신2동",183,11.1788617886179,2045.73170731707
