"","gu","dong","total","perc_inv","result"
"351","광진구","화양동",178,19.6361185983828,3495.22911051213
"352","관악구","낙성대동",300,11.622864651774,3486.85939553219
"353","관악구","서원동",291,11.622864651774,3382.25361366623
"354","종로구","청운효자동",299,11.1788617886179,3342.47967479675
"355","성북구","보문동",354,9.26223453370268,3278.83102493075
"356","관악구","대학동",281,11.622864651774,3266.02496714849
"357","성동구","송정동",234,13.939736346516,3261.89830508475
"358","종로구","교남동",291,11.1788617886179,3253.04878048781
"359","강동구","상일동",206,15.7795031055901,3250.57763975155
"360","영등포구","대림2동",222,14.438566552901,3205.36177474403
"361","용산구","용산2가동",166,19.2926829268293,3202.58536585366
"362","금천구","시흥3동",230,13.4630681818182,3096.50568181818
"363","관악구","조원동",266,11.622864651774,3091.68199737188
"364","성북구","장위1동",332,9.26223453370268,3075.06186518929
"365","마포구","염리동",191,15.875,3032.125
"366","종로구","혜화동",271,11.1788617886179,3029.47154471545
"367","성동구","성수2가3동",215,13.939736346516,2997.04331450094
"368","관악구","신원동",256,11.622864651774,2975.45335085414
"369","영등포구","대림1동",204,14.438566552901,2945.46757679181
"370","영등포구","신길1동",203,14.438566552901,2931.02901023891
"371","성북구","돈암1동",309,9.26223453370268,2862.03047091413
"372","용산구","이태원2동",148,19.2926829268293,2855.31707317073
"373","은평구","수색동",215,13.2664188351921,2852.2800495663
"374","성동구","용답동",203,13.939736346516,2829.76647834275
"375","중구","중림동",310,8.90070921985816,2759.21985815603
"376","성북구","성북동",289,9.26223453370268,2676.78578024007
"377","종로구","무악동",238,11.1788617886179,2660.56910569106
"378","종로구","사직동",234,11.1788617886179,2615.85365853659
"379","성북구","길음2동",282,9.26223453370268,2611.95013850416
"380","중구","청구동",290,8.90070921985816,2581.20567375887
"381","성북구","장위3동",267,9.26223453370268,2473.01662049861
"382","동작구","노량진2동",126,19.6155555555556,2471.56
"383","영등포구","신길5동",165,14.438566552901,2382.36348122867
"384","성북구","장위2동",255,9.26223453370268,2361.86980609418
"385","중구","황학동",265,8.90070921985816,2358.68794326241
